node,Temperature (deg C)
1,160.000121
2,160.000784
3,160.001061
4,160.001227
5,160.001347
6,160.00144
7,160.001518
8,160.001585
9,160.001644
10,160.001698
11,160.001748
12,160.001795
13,160.001841
14,160.001885
15,160.00193
16,160.001974
17,160.002019
18,160.002065
19,160.002113
20,160.002162
21,160.002214
22,160.002268
23,160.002325
24,160.002385
25,160.002449
26,160.002517
27,160.002589
28,160.002665
29,160.002747
30,160.002833
31,160.002925
32,160.003022
33,160.003126
34,160.003236
35,160.003353
36,160.003476
37,160.003607
38,160.003746
39,160.003892
40,160.004047
41,160.00421
42,160.004382
43,160.004563
44,160.004754
45,160.004955
46,160.005166
47,160.005387
48,160.00562
49,160.005863
50,160.006118
51,160.006385
52,160.006664
53,160.006956
54,160.007261
55,160.007579
56,160.00791
57,160.008256
58,160.008616
59,160.00899
60,160.00938
61,160.009785
62,160.010206
63,160.010642
64,160.011096
65,160.011566
66,160.012053
67,160.012558
68,160.013081
69,160.013623
70,160.014183
71,160.014762
72,160.01536
73,160.015979
74,160.016617
75,160.017277
76,160.017957
77,160.018658
78,160.019382
79,160.020127
80,160.020896
81,160.021288
82,160.021686
83,160.022089
84,160.022498
85,160.022913
86,160.023335
87,160.023762
88,160.024195
89,160.024634
90,160.02508
91,160.025531
92,160.025989
93,160.026453
94,160.026924
95,160.027401
96,160.027884
97,160.028374
98,160.028871
99,160.029374
100,160.029883
101,160.0304
102,160.030923
103,160.031453
104,160.031989
105,160.032533
106,160.033084
107,160.033641
108,160.034206
109,160.034777
110,160.035356
111,160.035942
112,160.036536
113,160.037136
114,160.037744
115,160.03836
116,160.038982
117,160.039613
118,160.040251
119,160.040896
120,160.041549
121,160.04221
122,160.042878
123,160.043555
124,160.044239
125,160.044931
126,160.045631
127,160.046339
128,160.047055
129,160.04778
130,160.048512
131,160.049252
132,160.050001
133,160.050759
134,160.051524
135,160.052298
136,160.05308
137,160.053871
138,160.054671
139,160.055479
140,160.056296
141,160.057121
142,160.057955
143,160.058799
144,160.059651
145,160.060511
146,160.061381
147,160.06226
148,160.063148
149,160.064045
150,160.064952
151,160.065867
152,160.066792
153,160.067726
154,160.06867
155,160.069623
156,160.070585
157,160.071557
158,160.072539
159,160.07353
160,160.074531
161,160.075037
162,160.075546
163,160.076056
164,160.07657
165,160.077085
166,160.077604
167,160.078125
168,160.078648
169,160.079174
170,160.079702
171,160.080233
172,160.080766
173,160.081302
174,160.08184
175,160.082381
176,160.082925
177,160.083471
178,160.08402
179,160.084571
180,160.085125
181,160.085681
182,160.08624
183,160.086802
184,160.087366
185,160.087933
186,160.088502
187,160.089074
188,160.089649
189,160.090226
190,160.090806
191,160.091389
192,160.091974
193,160.092562
194,160.093152
195,160.093746
196,160.094341
197,160.09494
198,160.095541
199,160.096145
200,160.096752
201,160.097362
202,160.097974
203,160.098589
204,160.099206
205,160.099827
206,160.10045
207,160.101076
208,160.101704
209,160.102336
210,160.10297
211,160.103607
212,160.104247
213,160.104889
214,160.105534
215,160.106183
216,160.106834
217,160.107487
218,160.108144
219,160.108803
220,160.109466
221,160.110131
222,160.110799
223,160.11147
224,160.112143
225,160.11282
226,160.113499
227,160.114181
228,160.114867
229,160.115555
230,160.116246
231,160.11694
232,160.117637
233,160.118336
234,160.119039
235,160.119745
236,160.120453
237,160.121165
238,160.121879
239,160.122596
240,160.123317
241,160.12404
242,160.124767
243,160.125496
244,160.126228
245,160.126964
246,160.127702
247,160.128443
248,160.129188
249,160.129935
250,160.130685
251,160.131439
252,160.132195
253,160.132955
254,160.133717
255,160.134483
256,160.135252
257,160.136024
258,160.136798
259,160.137576
260,160.138358
261,160.139142
262,160.139929
263,160.140719
264,160.141513
265,160.14231
266,160.143109
267,160.143912
268,160.144718
269,160.145528
270,160.14634
271,160.147156
272,160.147974
273,160.148796
274,160.149621
275,160.15045
276,160.151281
277,160.152116
278,160.152954
279,160.153795
280,160.154639
281,160.155487
282,160.156337
283,160.157191
284,160.158049
285,160.158909
286,160.159773
287,160.16064
288,160.16151
289,160.162384
290,160.163261
291,160.164141
292,160.165025
293,160.165911
294,160.166802
295,160.167695
296,160.168592
297,160.169492
298,160.170395
299,160.171302
300,160.172212
301,160.173126
302,160.174043
303,160.174963
304,160.175886
305,160.176813
306,160.177744
307,160.178677
308,160.179615
309,160.180555
310,160.181499
311,160.182446
312,160.183397
313,160.184351
314,160.185309
315,160.18627
316,160.187235
317,160.188203
318,160.189174
319,160.190149
320,160.1911
321,160.318639
322,160.49501
323,160.722487
324,161.003191
325,161.33698
326,161.721438
327,162.152015
328,162.622291
329,163.12435
330,163.649223
331,164.187363
332,164.729126
333,165.26522
334,165.787088
335,166.287225
336,166.759394
337,167.198759
338,167.601922
339,167.966883
340,168.292937
341,168.580513
342,168.830993
343,169.046504
344,169.229715
345,169.383644
346,169.511487
347,169.616465
348,169.701711
349,169.770178
350,169.824576
351,169.867338
352,169.900602
353,169.926209
354,169.945722
355,169.960441
356,169.971434
357,169.979563
358,169.985516
359,169.989833
360,169.992934
361,169.99514
362,169.996695
363,169.997781
364,169.998531
365,169.999045
366,169.999394
367,169.999628
368,169.999783
369,169.999885
370,169.999951
371,169.999993
372,170.000019
373,170.000035
374,170.000044
375,170.000049
376,170.000051
377,170.000051
378,170.000051
379,170.000049
380,170.000048
381,170.000046
382,170.000044
383,170.000042
384,170.00004
385,170.000038
386,170.000037
387,170.000035
388,170.000033
389,170.000032
390,170.00003
391,170.000029
392,170.000028
393,170.000027
394,170.000026
395,170.000025
396,170.000024
397,170.000024
398,170.000023
399,170.000023
400,170.000023
401,160.000121
402,160.000784
403,160.001061
404,160.001227
405,160.001347
406,160.00144
407,160.001518
408,160.001585
409,160.001644
410,160.001698
411,160.001748
412,160.001795
413,160.001841
414,160.001885
415,160.00193
416,160.001974
417,160.002019
418,160.002065
419,160.002113
420,160.002162
421,160.002214
422,160.002268
423,160.002325
424,160.002385
425,160.002449
426,160.002517
427,160.002589
428,160.002665
429,160.002747
430,160.002833
431,160.002925
432,160.003022
433,160.003126
434,160.003236
435,160.003353
436,160.003476
437,160.003607
438,160.003746
439,160.003892
440,160.004047
441,160.00421
442,160.004382
443,160.004563
444,160.004754
445,160.004955
446,160.005166
447,160.005387
448,160.00562
449,160.005863
450,160.006118
451,160.006385
452,160.006664
453,160.006956
454,160.007261
455,160.007579
456,160.00791
457,160.008256
458,160.008616
459,160.00899
460,160.00938
461,160.009785
462,160.010206
463,160.010642
464,160.011096
465,160.011566
466,160.012053
467,160.012558
468,160.013081
469,160.013623
470,160.014183
471,160.014762
472,160.01536
473,160.015979
474,160.016617
475,160.017277
476,160.017957
477,160.018658
478,160.019382
479,160.020127
480,160.020896
481,160.021288
482,160.021686
483,160.022089
484,160.022498
485,160.022913
486,160.023335
487,160.023762
488,160.024195
489,160.024634
490,160.02508
491,160.025531
492,160.025989
493,160.026453
494,160.026924
495,160.027401
496,160.027884
497,160.028374
498,160.028871
499,160.029374
500,160.029883
501,160.0304
502,160.030923
503,160.031453
504,160.031989
505,160.032533
506,160.033084
507,160.033641
508,160.034206
509,160.034777
510,160.035356
511,160.035942
512,160.036536
513,160.037136
514,160.037744
515,160.03836
516,160.038982
517,160.039613
518,160.040251
519,160.040896
520,160.041549
521,160.04221
522,160.042878
523,160.043555
524,160.044239
525,160.044931
526,160.045631
527,160.046339
528,160.047055
529,160.04778
530,160.048512
531,160.049252
532,160.050001
533,160.050759
534,160.051524
535,160.052298
536,160.05308
537,160.053871
538,160.054671
539,160.055479
540,160.056296
541,160.057121
542,160.057955
543,160.058799
544,160.059651
545,160.060511
546,160.061381
547,160.06226
548,160.063148
549,160.064045
550,160.064952
551,160.065867
552,160.066792
553,160.067726
554,160.06867
555,160.069623
556,160.070585
557,160.071557
558,160.072539
559,160.07353
560,160.074531
561,160.075037
562,160.075546
563,160.076056
564,160.07657
565,160.077085
566,160.077604
567,160.078125
568,160.078648
569,160.079174
570,160.079702
571,160.080233
572,160.080766
573,160.081302
574,160.08184
575,160.082381
576,160.082925
577,160.083471
578,160.08402
579,160.084571
580,160.085125
581,160.085681
582,160.08624
583,160.086802
