Node,  X Coordinate (m),  Y Coordinate (m),  Z Coordinate (m),  Advective X Heat Flux (MW/m2),  Advective Y Heat Flux (MW/m2),  Advective Z Heat Flux (MW/m2),  Conductive X Heat Flux (MW/m2),  Conductive Y Heat Flux (MW/m2),  Conductive Z Heat Flux (MW/m2)
0000000001,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,  -0.968113349E-12,    0.00000000    ,    0.00000000    ,  -0.181870519E-16
0000000002,    1.00000000    ,    0.00000000    ,    0.00000000    ,   0.139367425E-04,    0.00000000    ,  -0.509036858E-12,   0.260406642E-09,    0.00000000    ,  -0.951558832E-17
0000000003,    2.00000000    ,    0.00000000    ,    0.00000000    ,   0.129050993E-04,    0.00000000    ,  -0.306232468E-12,   0.242616930E-09,    0.00000000    ,  -0.583213478E-17
0000000004,    3.00000000    ,    0.00000000    ,    0.00000000    ,   0.118879127E-04,  -0.125728472E-11,  -0.122416332E-12,   0.223502586E-09,  -0.236354936E-16,  -0.222541985E-17
0000000005,    4.00000000    ,    0.00000000    ,    0.00000000    ,   0.108942711E-04,  -0.144958259E-11,  -0.167342489E-12,   0.204828434E-09,  -0.272805778E-16,  -0.322302185E-17
0000000006,    5.00000000    ,    0.00000000    ,    0.00000000    ,   0.993247592E-05,  -0.117982264E-11,    0.00000000    ,   0.186751205E-09,  -0.221774599E-16,    0.00000000    
0000000007,    6.00000000    ,    0.00000000    ,    0.00000000    ,   0.900978842E-05,  -0.545963708E-12,    0.00000000    ,   0.169407556E-09,  -0.102829745E-16,    0.00000000    
0000000008,    7.00000000    ,    0.00000000    ,    0.00000000    ,   0.813226877E-05,  -0.230970737E-12,  -0.385315855E-12,   0.152911692E-09,  -0.433573177E-17,  -0.721342985E-17
0000000009,    8.00000000    ,    0.00000000    ,    0.00000000    ,   0.730467573E-05,  -0.546266479E-12,  -0.236384310E-12,   0.137353367E-09,  -0.102062359E-16,  -0.441247039E-17
0000000010,    9.00000000    ,    0.00000000    ,    0.00000000    ,   0.653043326E-05,  -0.102954222E-11,    0.00000000    ,   0.122797213E-09,  -0.193765004E-16,    0.00000000    
0000000011,    10.0000000    ,    0.00000000    ,    0.00000000    ,   0.581166749E-05,  -0.123396903E-11,    0.00000000    ,   0.109283425E-09,  -0.232518005E-16,    0.00000000    
0000000012,    11.0000000    ,    0.00000000    ,    0.00000000    ,   0.514929553E-05,  -0.112907370E-11,    0.00000000    ,   0.968294314E-10,  -0.213717044E-16,    0.00000000    
0000000013,    12.0000000    ,    0.00000000    ,    0.00000000    ,   0.454314951E-05,  -0.897026252E-12,  -0.109006315E-12,   0.854322293E-10,  -0.168441261E-16,  -0.211031193E-17
0000000014,    13.0000000    ,    0.00000000    ,    0.00000000    ,   0.399212550E-05,  -0.684469752E-12,  -0.229619330E-12,   0.750711854E-10,  -0.128153488E-16,  -0.433573177E-17
0000000015,    14.0000000    ,    0.00000000    ,    0.00000000    ,   0.349434619E-05,  -0.541231118E-12,  -0.218924628E-12,   0.657110986E-10,  -0.101678665E-16,  -0.410551593E-17
0000000016,    15.0000000    ,    0.00000000    ,    0.00000000    ,   0.304732573E-05,  -0.459292193E-12,  -0.138312184E-12,   0.573053028E-10,  -0.863309424E-17,  -0.257074362E-17
0000000017,    16.0000000    ,    0.00000000    ,    0.00000000    ,   0.264812756E-05,  -0.412837839E-12,  -0.423686076E-13,   0.497986393E-10,  -0.778896947E-17,  -0.805755462E-18
0000000018,    17.0000000    ,    0.00000000    ,    0.00000000    ,   0.229350929E-05,  -0.378696527E-12,    0.00000000    ,   0.431301826E-10,  -0.713669124E-17,    0.00000000    
0000000019,    18.0000000    ,    0.00000000    ,    0.00000000    ,   0.198005090E-05,  -0.343204289E-12,    0.00000000    ,   0.372356561E-10,  -0.644604370E-17,    0.00000000    
0000000020,    19.0000000    ,    0.00000000    ,    0.00000000    ,   0.170426423E-05,  -0.301501930E-12,    0.00000000    ,   0.320494917E-10,  -0.564028824E-17,    0.00000000    
0000000021,    20.0000000    ,    0.00000000    ,    0.00000000    ,   0.146268308E-05,  -0.255612369E-12,    0.00000000    ,   0.275065270E-10,  -0.479616347E-17,    0.00000000    
0000000022,    21.0000000    ,    0.00000000    ,    0.00000000    ,   0.125193465E-05,  -0.212384196E-12,    0.00000000    ,   0.235433507E-10,  -0.395203870E-17,    0.00000000    
0000000023,    22.0000000    ,    0.00000000    ,    0.00000000    ,   0.106879360E-05,  -0.178660824E-12,    0.00000000    ,   0.200993201E-10,  -0.337649908E-17,    0.00000000    
0000000024,    23.0000000    ,    0.00000000    ,    0.00000000    ,   0.910220592E-06,  -0.155646690E-12,    0.00000000    ,   0.171172872E-10,  -0.295443670E-17,    0.00000000    
0000000025,    24.0000000    ,    0.00000000    ,    0.00000000    ,   0.773387470E-06,  -0.138204659E-12,    0.00000000    ,   0.145440729E-10,  -0.260911293E-17,    0.00000000    
0000000026,    25.0000000    ,    0.00000000    ,    0.00000000    ,   0.655691431E-06,  -0.119964826E-12,    0.00000000    ,   0.123307345E-10,  -0.226378916E-17,    0.00000000    
0000000027,    26.0000000    ,    0.00000000    ,    0.00000000    ,   0.554760177E-06,  -0.988013193E-13,    0.00000000    ,   0.104326624E-10,  -0.191846539E-17,    0.00000000    
0000000028,    27.0000000    ,    0.00000000    ,    0.00000000    ,   0.468450042E-06,  -0.775297484E-13,    0.00000000    ,   0.880954598E-11,  -0.145803369E-17,    0.00000000    
0000000029,    28.0000000    ,    0.00000000    ,    0.00000000    ,   0.394838774E-06,  -0.604147050E-13,    0.00000000    ,   0.742523737E-11,  -0.111270992E-17,    0.00000000    
0000000030,    29.0000000    ,    0.00000000    ,    0.00000000    ,   0.332214514E-06,  -0.494713753E-13,    0.00000000    ,   0.624754519E-11,  -0.920863386E-18,    0.00000000    
0000000031,    30.0000000    ,    0.00000000    ,    0.00000000    ,   0.279062247E-06,  -0.435467397E-13,    0.00000000    ,   0.524797914E-11,  -0.805755462E-18,    0.00000000    
0000000032,    31.0000000    ,    0.00000000    ,    0.00000000    ,   0.234048760E-06,  -0.398534930E-13,    0.00000000    ,   0.440146780E-11,  -0.767386155E-18,    0.00000000    
0000000033,    32.0000000    ,    0.00000000    ,    0.00000000    ,   0.196006877E-06,  -0.359389128E-13,    0.00000000    ,   0.368606200E-11,  -0.690647539E-18,    0.00000000    
0000000034,    33.0000000    ,    0.00000000    ,    0.00000000    ,   0.163919598E-06,  -0.307143306E-13,    0.00000000    ,   0.308263661E-11,  -0.575539616E-18,    0.00000000    
0000000035,    34.0000000    ,    0.00000000    ,    0.00000000    ,   0.136904592E-06,  -0.242955623E-13,    0.00000000    ,   0.257459885E-11,  -0.422062385E-18,    0.00000000    
0000000036,    35.0000000    ,    0.00000000    ,    0.00000000    ,   0.114199391E-06,  -0.174521386E-13,    0.00000000    ,   0.214761012E-11,  -0.345323770E-18,    0.00000000    
0000000037,    36.0000000    ,    0.00000000    ,    0.00000000    ,   0.951475132E-07,  -0.111080110E-13,    0.00000000    ,   0.178932462E-11,  -0.230215846E-18,    0.00000000    
0000000038,    37.0000000    ,    0.00000000    ,    0.00000000    ,   0.791856443E-07,  -0.607131508E-14,    0.00000000    ,   0.148914921E-11,  -0.115107923E-18,    0.00000000    
0000000039,    38.0000000    ,    0.00000000    ,    0.00000000    ,   0.658319391E-07,  -0.288509697E-14,    0.00000000    ,   0.123802232E-11,  -0.383693077E-19,    0.00000000    
0000000040,    39.0000000    ,    0.00000000    ,    0.00000000    ,   0.546754435E-07,  -0.168833497E-14,    0.00000000    ,   0.102821549E-11,  -0.383693077E-19,    0.00000000    
0000000041,    40.0000000    ,    0.00000000    ,    0.00000000    ,   0.453666164E-07,  -0.215931856E-14,    0.00000000    ,   0.853155677E-12,  -0.383693077E-19,    0.00000000    
0000000042,    41.0000000    ,    0.00000000    ,    0.00000000    ,   0.376088979E-07,  -0.357226942E-14,    0.00000000    ,   0.707265517E-12,  -0.383693077E-19,    0.00000000    
0000000043,    42.0000000    ,    0.00000000    ,    0.00000000    ,   0.311512627E-07,  -0.503926751E-14,    0.00000000    ,   0.585824586E-12,  -0.767386155E-19,    0.00000000    
0000000044,    43.0000000    ,    0.00000000    ,    0.00000000    ,   0.257816834E-07,  -0.578563487E-14,    0.00000000    ,   0.484845354E-12,  -0.767386155E-19,    0.00000000    
0000000045,    44.0000000    ,    0.00000000    ,    0.00000000    ,   0.213214274E-07,  -0.539958260E-14,    0.00000000    ,   0.400966633E-12,  -0.767386155E-19,    0.00000000    
0000000046,    45.0000000    ,    0.00000000    ,    0.00000000    ,   0.176201070E-07,  -0.390684759E-14,    0.00000000    ,   0.331360334E-12,  -0.767386155E-19,    0.00000000    
0000000047,    46.0000000    ,    0.00000000    ,    0.00000000    ,   0.145514032E-07,  -0.170120304E-14,    0.00000000    ,   0.273650900E-12,  -0.383693077E-19,    0.00000000    
0000000048,    47.0000000    ,    0.00000000    ,    0.00000000    ,   0.120093880E-07,    0.00000000    ,    0.00000000    ,   0.225846235E-12,    0.00000000    ,    0.00000000    
0000000049,    48.0000000    ,    0.00000000    ,    0.00000000    ,   0.990537275E-08,    0.00000000    ,    0.00000000    ,   0.186278538E-12,    0.00000000    ,    0.00000000    
0000000050,    49.0000000    ,    0.00000000    ,    0.00000000    ,   0.816521462E-08,    0.00000000    ,    0.00000000    ,   0.153553471E-12,    0.00000000    ,    0.00000000    
0000000051,    50.0000000    ,    0.00000000    ,    0.00000000    ,   0.672702120E-08,    0.00000000    ,    0.00000000    ,   0.126507138E-12,    0.00000000    ,    0.00000000    
0000000052,    51.0000000    ,    0.00000000    ,    0.00000000    ,   0.553919770E-08,    0.00000000    ,    0.00000000    ,   0.104169025E-12,    0.00000000    ,    0.00000000    
0000000053,    52.0000000    ,    0.00000000    ,    0.00000000    ,   0.455878906E-08,    0.00000000    ,    0.00000000    ,   0.857317673E-13,    0.00000000    ,    0.00000000    
